,month,year,vazao,data_ticks
544,10,2009,184.274,2009-10
545,11,2009,184.614,2009-11
546,12,2009,216.35,2009-12
547,1,2010,235.054,2010-1
548,2,2010,204.076,2010-2
549,3,2010,241.046,2010-3
550,4,2010,246.38099999999997,2010-4
551,5,2010,162.41,2010-5
552,6,2010,149.645,2010-6
553,7,2010,138.528,2010-7
554,8,2010,130.189,2010-8
555,9,2010,123.865,2010-9
556,10,2010,148.595,2010-10
557,11,2010,185.748,2010-11
558,12,2010,196.358,2010-12
559,1,2011,240.158,2011-1
560,2,2011,300.444,2011-2
561,3,2011,358.025,2011-3
562,4,2011,227.293,2011-4
563,5,2011,180.063,2011-5
564,6,2011,158.94899999999998,2011-6
565,7,2011,147.739,2011-7
566,8,2011,136.655,2011-8
567,9,2011,126.186,2011-9
568,10,2011,165.00099999999998,2011-10
569,11,2011,200.65200000000002,2011-11
570,12,2011,236.44099999999997,2011-12
571,1,2012,246.69099999999997,2012-1
572,2,2012,276.147,2012-2
573,3,2012,268.568,2012-3
574,4,2012,206.12599999999998,2012-4
575,5,2012,171.6,2012-5
576,6,2012,152.032,2012-6
577,7,2012,139.799,2012-7
578,8,2012,130.239,2012-8
579,9,2012,123.90799999999999,2012-9
580,10,2012,121.665,2012-10
581,11,2012,188.734,2012-11
582,12,2012,219.09,2012-12
583,1,2013,302.98400000000004,2013-1
584,2,2013,210.957,2013-2
585,3,2013,239.657,2013-3
586,4,2013,232.736,2013-4
587,5,2013,170.798,2013-5
588,6,2013,158.524,2013-6
589,7,2013,140.072,2013-7
590,8,2013,129.717,2013-8
591,9,2013,121.304,2013-9
592,10,2013,129.41899999999998,2013-10
593,11,2013,165.563,2013-11
594,12,2013,279.668,2013-12
595,1,2014,187.889,2014-1
596,2,2014,218.84900000000002,2014-2
597,3,2014,250.22,2014-3
598,4,2014,213.43400000000003,2014-4
599,5,2014,172.574,2014-5
600,6,2014,145.989,2014-6
601,7,2014,134.222,2014-7
602,8,2014,125.06,2014-8
603,9,2014,120.162,2014-9
604,10,2014,121.32799999999999,2014-10
605,11,2014,156.239,2014-11
606,12,2014,207.976,2014-12
2,1,2015,169.986,2015-1
0,2,2015,215.243,2015-2
1,3,2015,216.419,2015-3
13,4,2015,198.26,2015-4
12,5,2015,179.43200000000002,2015-5
11,6,2015,138.361,2015-6
10,7,2015,128.62,2015-7
9,8,2015,120.03399999999999,2015-8
8,9,2015,113.97,2015-9
7,10,2015,115.55799999999999,2015-10
6,11,2015,128.89600000000002,2015-11
5,12,2015,132.452,2015-12
4,1,2016,336.958,2016-1
3,2,2016,192.773,2016-2
18,3,2016,169.78599999999997,2016-3
17,4,2016,151.52100000000002,2016-4
16,5,2016,126.846,2016-5
15,6,2016,121.934,2016-6
14,7,2016,112.883,2016-7
607,8,2016,108.695,2016-8
608,9,2016,106.31200000000001,2016-9
609,10,2016,120.365,2016-10
610,11,2016,137.282,2016-11
611,12,2016,159.076,2016-12
